,x,y,EC_0.40,EC_0.80,EC_end,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,name,depth,x_clhs,y_clhs,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,water_ec_hp,iperm_water,HCP0.5_DC,PRP0.6_DC,HCP1.0_DC,PRP1.1_DC,HCP2.0_DC,PRP2.1_DC
18,107776.692,183310.756,17.797778326828404,56.89605981505421,89.80769707190639,27.5510368,42797.16,31.98025118,11.55637547,58.91916989,26.49749524,77.07003754,53.55654884,9,50,107775.993,183310.289,7.24,8.751,18.018,45.765,36.217,,,1.78,0.30722,4,23.9,16.3,15.6,0.0246960924542596,0.00871,0.16062499157242016,57.745017235545625,0.02995,0.01058,0.05572,0.02473,0.07319,0.05057
19,107726.371,183318.719,56.52511233485666,73.03526383942558,70.51552807216667,26.563,40950.86,44.69528364,22.97830682,68.84778706,47.83819043,62.34481407,67.26143002,10,50,107726.74,183319.096,7.19,33.2,64.061,30.681,5.259,,,1.24,0.48412,23,23.7,58.6,79.3,0.09917697407186195,0.06288,0.14531424772433985,52.24077310303898,0.04208,0.02139,0.06527,0.0451,0.05901,0.06374
20,107766.469,183327.314,9.419724550738,34.70587445324602,59.59794947033804,27.1795488,42851.76,20.45103517,7.743880457,37.39882672,16.39981022,51.88833344,31.13130335,11,50,107766.796,183327.428,6.75,4.891,12.692,54.808,32.5,,,1.681,0.21031,8,23.7,21.3,12.2,0.025273329487892054,0.00906,0.11687088780528117,42.015326286300365,0.01899,0.007,0.03511,0.01516,0.04897,0.02914
21,107777.021,183299.37,20.3741655017242,63.226962014095484,97.60733226575475,27.85,42500.46,34.43270162,12.62280266,64.73274433,29.81245537,83.56545721,60.24304748,12,50,107777.193,183299.459,7.24,8.064,16.931,50.535,32.534,,,1.898,0.16165,415,23.0,21.8,21.0,0.03310994624624087,0.01395,0.14880874717411624,53.497052894754724,0.03228,0.01159,0.06131,0.02788,0.07946,0.05699
22,107752.33,183298.809,42.36273932419402,65.82575494858838,74.97001641944547,27.45,41407.83,38.67130096,18.98603547,63.60415183,39.82014998,65.68431763,61.28327009,13,50,107751.848,183298.452,7.34,19.254,32.385,27.489,40.126,,,1.382,0.40536,470,23.7,30.8,38.6,0.05102676438816131,0.02565,0.1523186996661532,54.758888087177056,0.03633,0.0176,0.06022,0.03742,0.06222,0.05799
23,107732.66,183327.436,31.279561158302876,61.19525343546052,78.56692304998273,26.5541536,41420.95,34.46278999,14.46014941,59.55776766,33.95605515,67.93135205,58.15342045,14,50,107732.833,183327.555,6.92,7.14,12.707,11.525,75.767,,,1.628,0.14206,17,25.1,18.2,16.1,0.026739038191895485,0.00998,0.15064246868673514,54.15627957744456,0.03231,0.01332,0.05633,0.03183,0.06438,0.05498
24,107776.543,183291.428,32.631491113967684,72.1694751292491,101.13771132329167,27.95,42241.07,41.13591741,17.55223533,72.9424524,38.34994201,87.6547433,67.19781535,15,50,107776.559,183291.247,7.45,10.744,22.892,50.941,26.167,,,1.724,0.30856,400,22.8,30.7,32.4,0.04817847354827262,0.02372,0.14435497692366328,51.8959132628836,0.03868,0.01624,0.06921,0.03602,0.0834,0.06368
25,107766.469,183327.314,9.419724550738,34.70587445324602,59.59794947033804,27.1795488,42851.76,20.45103517,7.743880457,37.39882672,16.39981022,51.88833344,31.13130335,11,10,107766.796,183327.428,6.19,5.176,11.694,49.72,38.585,14.2,2.8,1.635,0.2534,19,23.3,16.3,7.3,0.016559194475144978,0.00384,0.1077020778871218,38.719120125786155,0.01899,0.007,0.03511,0.01516,0.04897,0.02914
26,107777.021,183299.37,20.3741655017242,63.226962014095484,97.60733226575475,27.85,42500.46,34.43270162,12.62280266,64.73274433,29.81245537,83.56545721,60.24304748,12,10,107777.193,183299.459,6.49,7.247,12.271,47.864,39.866,13.7,2.7,1.602,0.26763,404,22.6,15.7,8.4,0.017888538094142058,0.00457,0.12231479038729613,43.972420542615716,0.03228,0.01159,0.06131,0.02788,0.07946,0.05699
27,107752.33,183298.809,42.36273932419402,65.82575494858838,74.97001641944547,27.45,41407.83,38.67130096,18.98603547,63.60415183,39.82014998,65.68431763,61.28327009,13,10,107751.848,183298.452,6.6,11.743,20.303,39.878,39.819,19.0,3.8,1.588,0.23165,416,23.0,13.4,10.4,0.018608700171410555,0.00498,0.15837191635243025,56.93503202628484,0.03633,0.0176,0.06022,0.03742,0.06222,0.05799
28,107732.66,183327.436,31.279561158302876,61.19525343546052,78.56692304998273,26.5541536,41420.95,34.46278999,14.46014941,59.55776766,33.95605515,67.93135205,58.15342045,14,10,107732.833,183327.555,6.79,13.421,22.237,38.55,39.213,18.9,3.8,1.578,0.27103,21,24.9,24.6,19.6,0.0345686060044355,0.01487,0.13424701360945826,48.26207951085586,0.03231,0.01332,0.05633,0.03183,0.06438,0.05498
29,107776.543,183291.428,32.631491113967684,72.1694751292491,101.13771132329167,27.95,42241.07,41.13591741,17.55223533,72.9424524,38.34994201,87.6547433,67.19781535,15,10,107776.559,183291.247,6.76,9.322,15.223,46.155,38.621,14.0,2.8,1.679,0.27536,422,23.0,20.6,12.5,0.02525825051341801,0.00906,0.12172650849840003,43.7609319848196,0.03868,0.01624,0.06921,0.03602,0.0834,0.06368
