,x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
28,107769.788,183238.07,28.55,32746.93,0.008633082,0.005222415,0.002038393,0.001899948,0.000290034,0.000534422,1.590081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
29,107769.815,183237.997,28.55,32747.11,0.008623444,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
30,107769.865,183237.862,28.55,32751.12,0.008623444,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
31,107769.865,183237.862,28.55,32751.32,0.008633082,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
32,107769.866,183237.862,28.55,32751.52,0.008652358,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
33,107769.866,183237.862,28.55,32751.72,0.00864272,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
34,107769.868,183237.862,28.55,32751.92,0.008633082,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
35,107769.872,183237.862,28.55,32752.12,0.008623444,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
36,107769.879,183237.862,28.55,32754.11,0.00864272,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
37,107769.879,183237.862,28.55,32754.31,0.008661996,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
38,107769.879,183237.862,28.55,32754.51,0.008623444,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
39,107769.879,183237.863,28.55,32754.71,0.008594532,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
40,107769.879,183237.867,28.55,32754.91,0.008604169,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
41,107769.879,183237.873,28.55,32755.11,0.00864272,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
42,107769.879,183237.88,28.55,32755.31,0.008652358,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
43,107769.879,183237.884,28.55,32755.51,0.008633082,0.005231426,0.002055893,0.001910597,0.000292744,0.000533935,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
44,107769.879,183237.883,28.55,32755.71,0.008633082,0.005231426,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
45,107769.879,183237.879,28.55,32755.91,0.00864272,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
46,107769.879,183237.862,28.55,32758.12,0.008623444,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
